,AHA,AHA,AHA,AHA,AHA,MACS,MACS,MACS,MACS,MACS
,mean,median,var,std,count,mean,median,var,std,count
cluster,,,,,,,,,,
0,49.0,49.0,,,1,2.0,2.0,,,1
1,52.458333333333336,53.5,189.21557971014497,13.75556540859535,24,2.0416666666666665,2.0,0.5634057971014491,0.7506036218280918,24
2,54.0,54.0,,,1,1.0,1.0,,,1
3,78.0,78.0,,,1,1.0,1.0,,,1
4,53.35,52.0,214.87105263157895,14.658480570358543,20,1.8,2.0,0.4842105263157894,0.6958523739384593,20
5,53.333333333333336,53.0,73.86666666666667,8.594571930391105,6,2.0,2.0,0.8,0.8944271909999159,6
