,AHA,AHA,AHA,AHA,AHA,MACS,MACS,MACS,MACS,MACS
,mean,median,var,std,count,mean,median,var,std,count
cluster,,,,,,,,,,
0,100.0,100.0,,,1,0.0,0.0,,,1
1,70.57142857142857,65.0,476.35714285714295,21.82560750259069,21,1.1428571428571428,1.0,0.8285714285714286,0.9102589898327995,21
2,100.0,100.0,,,1,0.0,0.0,,,1
3,100.0,100.0,,,1,0.0,0.0,,,1
4,100.0,100.0,,,1,0.0,0.0,,,1
5,100.0,100.0,,,1,0.0,0.0,,,1
6,100.0,100.0,,,1,0.0,0.0,,,1
7,75.0,75.0,,,1,1.0,1.0,,,1
8,100.0,100.0,,,1,0.0,0.0,,,1
9,100.0,100.0,,,1,0.0,0.0,,,1
10,100.0,100.0,,,1,0.0,0.0,,,1
11,67.0,58.0,730.7500000000001,27.032387981826542,25,1.44,2.0,1.5066666666666666,1.2274635093014645,25
12,100.0,100.0,,,1,0.0,0.0,,,1
13,100.0,100.0,,,1,0.0,0.0,,,1
14,78.0,78.0,,,1,1.0,1.0,,,1
15,54.0,54.0,,,1,1.0,1.0,,,1
