,AHA,AHA,AHA,AHA
,mean,median,var,std
cluster,,,,
0,100.0,100.0,0.0,0.0
1,65.0909090909091,58.5,513.5264270613104,22.66112148728104
2,100.0,100.0,,
3,100.0,100.0,0.0,0.0
4,100.0,100.0,,
