,AHA,AHA,AHA,AHA,AHA,MACS,MACS,MACS,MACS,MACS
,mean,median,var,std,count,mean,median,var,std,count
cluster,,,,,,,,,,
0,66.625,56.5,712.048387096774,26.684234804407904,32,1.53125,2.0,1.6764112903225807,1.294763024774256,32
1,74.36363636363636,73.0,654.1471861471861,25.576301260095956,22,1.0,1.0,1.142857142857143,1.0690449676496976,22
2,74.78571428571429,89.0,717.9523809523808,26.794633435678513,28,1.0357142857142858,0.5,1.369047619047619,1.1700630833624395,28
3,70.025,63.5,649.5121794871795,25.485528824946513,40,1.175,1.0,1.071153846153846,1.034965625590457,40
4,61.46666666666667,55.0,610.2666666666667,24.703575989452755,15,1.5333333333333334,2.0,0.980952380952381,0.990430401872025,15
5,68.83783783783784,64.0,484.47297297297257,22.01074676091142,37,1.1891891891891893,1.0,0.8798798798798796,0.9380191255405614,37
6,73.70833333333333,71.5,528.1286231884061,22.98104921861502,24,1.125,1.0,1.1576086956521743,1.0759222535351587,24
