,AHA,AHA,AHA,AHA,AHA,MACS,MACS,MACS,MACS,MACS
,mean,median,var,std,count,mean,median,var,std,count
cluster,,,,,,,,,,
0,55.125,52.0,245.55357142857147,15.670149055722842,8,1.875,2.0,0.6964285714285715,0.8345229603962803,8
1,53.36363636363637,53.0,40.25454545454546,6.344646992114333,11,1.9090909090909092,2.0,0.4909090909090909,0.7006490497453707,11
2,52.911764705882355,52.0,221.11319073083786,14.86987527623678,34,1.911764705882353,2.0,0.5677361853832443,0.7534827041035809,34
