,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_averaging_method,param_init_algorithm,param_metric,param_n_clusters,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,method,window_size,model_type,gridsearch_hash,param_feature_selection,param_shape_descriptor_function
28,0.3030986785888672,0.0248500010702884,0.0018547058105468,0.0008489521961843,,forgy,euclidean,2.0,"{'init_algorithm': 'forgy', 'metric': 'euclidean', 'n_clusters': 2}",0.9506666666666668,0.9263331138907176,1.0,0.9487179487179488,0.9493589743589744,0.9550153407268616,0.0242357269289941,1,0.925135259289506,0.9559302517129628,0.9497337407245744,0.925763701707098,0.962402648853044,0.943793120457437,0.0155054261161436,ai,300,TimeSeriesKMedoids,c42fbe82af,,
30,0.2249911308288574,0.0175735068400202,0.0020018100738525,4.58706441261911e-06,,random,euclidean,2.0,"{'init_algorithm': 'random', 'metric': 'euclidean', 'n_clusters': 2}",0.9506666666666668,0.9263331138907176,1.0,0.9487179487179488,0.9493589743589744,0.9550153407268616,0.0242357269289941,1,0.925135259289506,0.9559302517129628,0.9497337407245744,0.925763701707098,0.962402648853044,0.943793120457437,0.0155054261161436,ai,300,TimeSeriesKMedoids,c42fbe82af,,
25,85.64209032058716,148.15918749933107,0.0520039081573486,0.0057298671385366,mean,kmeans++,dtw,2.0,"{'averaging_method': 'mean', 'init_algorithm': 'kmeans++', 'metric': 'dtw', 'n_clusters': 2}",0.9506666666666668,0.9751859364435428,0.9751481237656352,0.9243440156274748,0.9243440156274748,0.9499377516261588,0.0227316680508079,1,0.9560647236469604,0.9436632412466704,0.9438418888361352,0.950308363370093,0.9441608552515132,0.9476078144702744,0.0049078642776073,ai,300,TimeSeriesKMeans,cb762cccb4,,
27,106.74018688201905,193.4270608760724,0.0513990879058837,0.0047946111094637,mean,forgy,dtw,2.0,"{'averaging_method': 'mean', 'init_algorithm': 'forgy', 'metric': 'dtw', 'n_clusters': 2}",0.9506666666666668,0.9751859364435428,0.9751481237656352,0.9243440156274748,0.9243440156274748,0.9499377516261588,0.0227316680508079,1,0.9560647236469604,0.9436632412466704,0.9438418888361352,0.950308363370093,0.950308363370093,0.9488373160939904,0.004653788223114,ai,300,TimeSeriesKMeans,cb762cccb4,,
24,0.109199857711792,0.0443090321279666,0.0019979000091552,4.70694071931956e-06,mean,kmeans++,euclidean,2.0,"{'averaging_method': 'mean', 'init_algorithm': 'kmeans++', 'metric': 'euclidean', 'n_clusters': 2}",0.95,1.0,0.95,0.9493589743589744,0.8987179487179486,0.9496153846153844,0.0320297363479532,3,0.9560647236469604,0.9498579178506846,0.9624154005188118,0.9563466611637544,0.9687219442218036,0.958681329480403,0.0064016736238101,ai,300,TimeSeriesKMeans,cb762cccb4,,
26,0.0402001857757568,0.0054579731781969,0.0023963451385498,0.0004931959021922,mean,forgy,euclidean,2.0,"{'averaging_method': 'mean', 'init_algorithm': 'forgy', 'metric': 'euclidean', 'n_clusters': 2}",0.95,1.0,0.95,0.9493589743589744,0.8987179487179486,0.9496153846153844,0.0320297363479532,3,0.9560647236469604,0.9498579178506846,0.9624154005188118,0.9563466611637544,0.962402648853044,0.9574174704066511,0.00468944987446,ai,300,TimeSeriesKMeans,cb762cccb4,,
9,213.90519614219664,1.5988956469235298,1.0360004425048828,0.2338028314937395,,,,,{'feature_selection': 'none'},1.0,0.8709090909090909,1.0,0.8954635108481261,0.9477317554240632,0.942820871436256,0.0528716295353592,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,concat,300,BOSSEnsemble,e52c627f3a,none,
13,10.938004207611083,1.362327492545383,0.0497976303100585,0.0054206947316334,mean,kmeans++,dtw,2.0,"{'averaging_method': 'mean', 'init_algorithm': 'kmeans++', 'metric': 'dtw', 'n_clusters': 2}",0.8759296822177148,1.0,0.9260154738878142,0.9243440156274748,0.974135523155131,0.9400849389776272,0.0431529380364837,1,0.9498579178506846,0.9307475384060844,0.9433558678812872,0.9314018961144712,0.9314018961144712,0.9373530232733998,0.007834166082376,difference,300,TimeSeriesKMeans,cb762cccb4,,
15,8.177864027023315,1.3508303554082697,0.0420037746429443,0.0047713575874808,mean,forgy,dtw,2.0,"{'averaging_method': 'mean', 'init_algorithm': 'forgy', 'metric': 'dtw', 'n_clusters': 2}",0.8759296822177148,1.0,0.9260154738878142,0.9243440156274748,0.974135523155131,0.9400849389776272,0.0431529380364837,1,0.9498579178506846,0.9307475384060844,0.9433558678812872,0.9314018961144712,0.9314018961144712,0.9373530232733998,0.007834166082376,difference,300,TimeSeriesKMeans,cb762cccb4,,
12,0.1279977798461914,0.0483463532681707,0.0018005847930908,0.0004009393141278,mean,kmeans++,euclidean,2.0,"{'averaging_method': 'mean', 'init_algorithm': 'kmeans++', 'metric': 'euclidean', 'n_clusters': 2}",0.9,1.0,0.9505208333333334,0.8987179487179486,0.9487179487179488,0.939591346153846,0.0376565089515759,3,0.9497138299970308,0.9245707449955466,0.9369507237199404,0.9498701984707252,0.9375439718580107,0.9397298938082508,0.0094319308134384,difference,300,TimeSeriesKMeans,cb762cccb4,,
