,AHA,AHA,AHA,AHA,AHA,MACS,MACS,MACS,MACS,MACS
,mean,median,var,std,count,mean,median,var,std,count
cluster,,,,,,,,,,
0,95.6,100.0,96.8,9.838699100999074,5,0.2,0.0,0.20000000000000004,0.447213595499958,5
1,85.4,100.0,409.7999999999999,20.243517480912253,5,0.6,0.0,0.8,0.8944271909999159,5
2,60.125,51.5,819.8392857142859,28.632835795888013,8,1.5,2.0,1.1428571428571428,1.0690449676496976,8
3,62.333333333333336,53.0,668.5,25.855366947695792,9,1.8888888888888888,3.0,1.8611111111111112,1.3642254619787417,9
4,85.0,100.0,434.0,20.83266665599966,8,0.625,0.0,0.8392857142857142,0.9161253813129042,8
5,61.333333333333336,53.0,542.25,23.286262044390035,9,1.4444444444444444,2.0,1.0277777777777777,1.0137937550497031,9
6,72.44444444444444,64.0,495.27777777777777,22.254837177067323,9,1.0,1.0,0.75,0.8660254037844386,9
7,90.42857142857143,100.0,311.2857142857143,17.643290914274306,7,0.42857142857142855,0.0,0.6190476190476191,0.7867957924694432,7
