,AHA,AHA,AHA,AHA,AHA,MACS,MACS,MACS,MACS,MACS
,mean,median,var,std,count,mean,median,var,std,count
cluster,,,,,,,,,,
0,74.58333333333333,79.5,653.3560606060606,25.560830593039434,12,1.0833333333333333,1.0,1.1742424242424243,1.0836246694508318,12
1,74.72727272727273,78.0,866.0181818181818,29.42818685916925,11,1.0909090909090908,1.0,1.4909090909090907,1.2210278829367864,11
2,78.5625,84.5,538.1291666666665,23.197611227595537,16,0.875,0.5,1.05,1.02469507659596,16
3,72.58333333333333,65.0,639.1742424242425,25.281895546502096,12,1.0833333333333333,1.0,1.3560606060606062,1.164500152881315,12
4,68.77777777777777,63.0,603.4444444444445,24.565106237190275,9,1.2222222222222223,1.0,1.1944444444444446,1.0929064207170003,9
