,AHA,AHA,AHA,AHA,AHA,MACS,MACS,MACS,MACS,MACS
,mean,median,var,std,count,mean,median,var,std,count
cluster,,,,,,,,,,
0,75.0,75.0,,,1,1.0,1.0,,,1
1,69.5,69.5,420.5,20.506096654409877,2,1.5,1.5,0.5,0.7071067811865476,2
2,66.21951219512195,59.0,591.9256097560973,24.329521363070366,41,1.3658536585365855,1.0,1.1878048780487804,1.089864614550257,41
3,100.0,100.0,,,1,0.0,0.0,,,1
4,100.0,100.0,0.0,0.0,6,0.0,0.0,0.0,0.0,6
5,100.0,100.0,,,1,0.0,0.0,,,1
6,57.0,57.0,,,1,2.0,2.0,,,1
7,100.0,100.0,,,1,0.0,0.0,,,1
8,100.0,100.0,,,1,0.0,0.0,,,1
9,100.0,100.0,,,1,0.0,0.0,,,1
10,78.0,78.0,,,1,1.0,1.0,,,1
11,100.0,100.0,,,1,0.0,0.0,,,1
12,100.0,100.0,,,1,0.0,0.0,,,1
13,100.0,100.0,,,1,0.0,0.0,,,1
