,AHA,AHA,AHA,AHA
,mean,median,var,std
cluster,,,,
0,58.11594202898551,54.0,225.30988917306047,15.010326084834416
1,62.851851851851855,58.0,614.377777777778,24.786645149712736
2,100.0,100.0,0.0,0.0
