,AHA,AHA,AHA,AHA,AHA,MACS,MACS,MACS,MACS,MACS
,mean,median,var,std,count,mean,median,var,std,count
cluster,,,,,,,,,,
0,51.44186046511628,52.0,95.109634551495,9.752416856938336,43,2.116279069767442,2.0,0.486157253599114,0.6972497784862424,43
1,97.83561643835617,100.0,66.19482496194846,8.136020216417142,73,0.0958904109589041,0.0,0.11567732115677323,0.3401136885760013,73
2,55.451219512195124,54.5,297.1148750376392,17.237020480281366,82,1.7439024390243902,2.0,0.6866907557964466,0.8286680612865724,82
