,AHA,AHA,AHA,AHA,AHA,MACS,MACS,MACS,MACS,MACS
,mean,median,var,std,count,mean,median,var,std,count
cluster,,,,,,,,,,
0,51.46,52.0,150.45755102040818,12.266113933125201,50,2.02,2.0,0.5097959183673468,0.7139999428342743,50
1,53.16216216216216,53.0,179.97297297297303,13.41540058935897,37,1.9189189189189189,2.0,0.5765765765765765,0.7593263966019991,37
2,56.525,58.0,227.28141025641025,15.075855208127008,40,1.725,2.0,0.5634615384615382,0.7506407519323329,40
