,AHA,AHA,AHA,AHA,AHA,MACS,MACS,MACS,MACS,MACS
,mean,median,var,std,count,mean,median,var,std,count
cluster,,,,,,,,,,
0,65.0,65.0,,,1,1.0,1.0,,,1
1,55.57142857142857,53.0,111.61904761904759,10.564991605252112,7,1.8571428571428572,2.0,0.4761904761904762,0.6900655593423543,7
2,52.3125,52.5,100.30452127659575,10.015214489794802,48,2.0208333333333335,2.0,0.5314716312056738,0.729021008754668,48
3,53.68571428571428,54.0,247.49399585921327,15.731941897274261,70,1.8428571428571427,2.0,0.5691511387163561,0.7544210619517168,70
4,78.0,78.0,,,1,1.0,1.0,,,1
