,AHA,AHA,AHA,AHA,AHA,MACS,MACS,MACS,MACS,MACS
,mean,median,var,std,count,mean,median,var,std,count
cluster,,,,,,,,,,
0,65.125,56.0,489.8392857142857,22.13231315778551,8,1.375,2.0,0.8392857142857143,0.9161253813129043,8
1,66.125,51.0,805.8392857142859,28.387308532410852,8,1.5,2.0,1.7142857142857142,1.3093073414159542,8
2,76.57142857142857,67.0,513.2857142857142,22.65580972478614,7,0.8571428571428571,1.0,0.8095238095238096,0.8997354108424375,7
3,73.92857142857143,78.5,755.456043956044,27.485560644746617,14,1.2857142857142858,1.0,1.9120879120879122,1.3827826698682306,14
4,60.13333333333333,64.0,668.8380952380952,25.861904323504394,15,1.5333333333333334,1.0,0.980952380952381,0.990430401872025,15
5,74.75,87.5,852.7857142857143,29.20249500103911,8,1.25,0.5,2.2142857142857144,1.4880476182856899,8
6,77.08333333333333,71.5,460.99242424242425,21.470734133755748,12,0.75,1.0,0.5681818181818182,0.7537783614444091,12
7,68.1,58.5,530.9888888888888,23.043196151768722,10,1.2,1.5,0.8444444444444444,0.9189365834726815,10
