,AHA,AHA,AHA,AHA,AHA,MACS,MACS,MACS,MACS,MACS
,mean,median,var,std,count,mean,median,var,std,count
cluster,,,,,,,,,,
0,60.21739130434783,59.0,96.90513833992101,9.84404075265442,23,1.608695652173913,2.0,0.3399209486166006,0.5830273995419089,23
1,51.875,50.5,262.3670212765958,16.197747413655883,48,2.0208333333333335,2.0,0.744237588652482,0.8626920589946809,48
2,56.15384615384615,54.0,87.7353846153846,9.366716853593077,26,1.6923076923076923,2.0,0.30153846153846176,0.5491251783869154,26
3,48.86666666666667,48.0,160.1885057471265,12.656559791156777,30,2.1,2.0,0.506896551724138,0.7119666788018509,30
