,AHA,AHA,AHA,AHA,AHA,MACS,MACS,MACS,MACS,MACS
,mean,median,var,std,count,mean,median,var,std,count
cluster,,,,,,,,,,
0,71.52,65.0,436.17666666666673,20.884842988796127,25,1.2,1.0,0.9999999999999997,0.9999999999999998,25
1,74.375,72.5,626.6500000000001,25.032978248702253,16,1.0625,1.0,1.2625000000000004,1.1236102527122118,16
2,67.69565217391305,63.0,598.494071146245,24.464138471367534,23,1.3478260869565217,1.0,1.2371541501976284,1.1122743142757674,23
3,67.04347826086956,54.0,882.7707509881425,29.71145824405363,23,1.3043478260869565,2.0,1.4031620553359685,1.184551415235307,23
4,75.04761904761905,68.0,561.9476190476191,23.705434377956863,21,1.0476190476190477,1.0,1.3476190476190477,1.1608699529314417,21
5,72.19047619047619,64.0,650.561904761905,25.50611504643357,21,1.0952380952380953,1.0,1.2904761904761906,1.13599128098599,21
6,64.15,56.0,737.8184210526318,27.162813202108353,20,1.5,1.5,1.5263157894736843,1.2354415362426845,20
7,71.94736842105263,64.0,652.9415204678364,25.552720412273846,19,1.105263157894737,1.0,1.0994152046783627,1.0485300208760657,19
8,69.4,65.5,585.7655172413795,24.202593192494465,30,1.2333333333333334,1.0,0.94367816091954,0.9714309861845771,30
