,AHA,AHA,AHA,AHA,AHA,MACS,MACS,MACS,MACS,MACS
,mean,median,var,std,count,mean,median,var,std,count
cluster,,,,,,,,,,
0,54.84615384615385,53.0,97.08097165991903,9.852967657509032,39,1.7692307692307692,2.0,0.3927125506072874,0.6266678151997974,39
1,51.53658536585366,49.0,296.0048780487806,17.204792298914295,41,2.073170731707317,2.0,0.7695121951219516,0.877218442078113,41
2,54.234042553191486,54.0,163.2701202590194,12.777719681501054,47,1.851063829787234,2.0,0.4773358001850136,0.6908949270222018,47
